Sample Filename	Pass/Fail	DQC	QC call_rate	call_rate	QC het_rate	het_rate	QC computed_gender	affymetrix-plate-barcode	affymetrix-plate-peg-wellposition	Average call rate for passing samples	Percent of passing samples
37040911.CEL	Pass	0.99	99.984	99.895	44.076	24.457	male	5511524422441081822019	A03	99.934	100
D0200000621.CEL	Pass	0.984	99.967	99.884	42.768	24.426	male	5511524422441081822019	A08	99.934	100
D0200000763.CEL	Pass	0.99	99.967	99.877	43.939	24.4	male	5511524422441081822019	A12	99.934	100
D0200000806.CEL	Pass	0.984	99.967	99.898	44.411	24.338	female	5511524422441081822019	A10	99.934	100
D0200000830.CEL	Pass	0.99	99.973	99.896	42.443	23.508	male	5511524422441081822019	A09	99.934	100
D0200000838.CEL	Pass	0.988	99.962	99.697	43.444	24.323	female	5511524422441081822019	B01	99.934	100
D0200000840.CEL	Pass	0.986	99.973	99.894	42.322	24.114	male	5511524422441081822019	A11	99.934	100
D0200000853.CEL	Pass	0.99	99.967	99.901	44.362	24.373	female	5511524422441081822019	B03	99.934	100
D0200000857.CEL	Pass	0.988	99.956	99.862	44.307	24.477	male	5511524422441081822019	B02	99.934	100
D0200000863.CEL	Pass	0.988	99.973	99.869	43.95	24.371	male	5511524422441081822019	B05	99.934	100
D0200000864.CEL	Pass	0.988	99.956	99.824	44.598	24.381	female	5511524422441081822019	B06	99.934	100
D0200000870.CEL	Pass	0.988	99.973	99.881	44.395	24.358	female	5511524422441081822019	B04	99.934	100
D0200024178.CEL	Pass	0.988	99.951	99.799	43.394	24.234	female	5511524422441081822019	A01	99.934	100
D0200024186.CEL	Pass	0.99	99.951	99.914	44.258	24.319	male	5511524422441081822019	A04	99.934	100
D0200024199.CEL	Pass	0.992	99.978	99.91	44.082	24.362	female	5511524422441081822019	A05	99.934	100
D0200024208.CEL	Pass	0.992	99.967	99.908	44.367	24.141	female	5511524422441081822019	A07	99.934	100
D0200024214.CEL	Pass	0.988	99.967	99.91	43.35	24.32	female	5511524422441081822019	A02	99.934	100
D0200024269.CEL	Pass	0.984	99.989	99.905	43.988	24.45	female	5511524422441081822019	A06	99.934	100
D0200024295.CEL	Pass	0.992	99.962	99.878	43.504	24.251	male	5511524422441081822019	C09	99.934	100
D0200024364.CEL	Pass	0.988	99.94	99.901	43.493	24.237	female	5511524422441081822019	C02	99.934	100
D0200024378.CEL	Pass	0.988	99.956	99.889	42.46	23.806	male	5511524422441081822019	B07	99.934	100
D0200024393.CEL	Pass	0.988	99.973	99.895	44.604	24.236	female	5511524422441081822019	B09	99.934	100
D0200024394.CEL	Pass	0.982	99.956	99.821	43.972	24.419	female	5511524422441081822019	C07	99.934	100
D0200024406.CEL	Pass	0.986	99.962	99.795	43.95	24.429	female	5511524422441081822019	C04	99.934	100
D0200024407.CEL	Pass	0.986	99.962	99.792	43.994	24.414	male	5511524422441081822019	B08	99.934	100
D0200024414.CEL	Pass	0.992	99.973	99.903	43.433	24.238	female	5511524422441081822019	B12	99.934	100
D0200024416.CEL	Pass	0.986	99.994	99.895	43.867	24.322	female	5511524422441081822019	C06	99.934	100
D0200024418.CEL	Pass	0.976	99.951	99.547	43.823	24.406	female	5511524422441081822019	C01	99.934	100
D0200024422.CEL	Pass	0.98	99.973	99.735	43.411	24.315	male	5511524422441081822019	C10	99.934	100
